Date,Eqn of Time,Declination
3/18/2004,-8.10000,-0.90333
3/19/2004,-7.81667,-0.50833
3/20/2004,-7.51667,-0.11167
3/21/2004,-7.21667,0.28333
3/22/2004,-6.91667,0.67833
3/23/2004,-6.63333,1.07333
3/24/2004,-6.33333,1.46667
3/25/2004,-6.01667,1.86000
3/26/2004,-5.71667,2.25333
3/27/2004,-5.41667,2.64500
3/28/2004,-5.11667,3.03667
3/29/2004,-4.81667,3.42667
3/30/2004,-4.51667,3.81500
3/31/2004,-4.21667,4.20333
4/1/2004,-3.91667,4.59000
4/2/2004,-3.61667,4.97500
4/3/2004,-3.31667,5.35833
4/4/2004,-3.03333,5.74000
4/5/2004,-2.73333,6.12000
4/6/2004,-2.45000,6.49833
4/7/2004,-2.16667,6.87500
4/8/2004,-1.88333,7.25000
4/9/2004,-1.61667,7.62167
4/10/2004,-1.33333,7.99333
4/11/2004,-1.06667,8.36000
4/12/2004,-0.81667,8.72667
4/13/2004,-0.55000,9.09000
4/14/2004,-0.30000,9.45167
4/15/2004,-0.06667,9.81000
4/16/2004,0.18333,10.16667
4/17/2004,0.41667,10.51833
4/18/2004,0.63333,10.87000
4/19/2004,0.85000,11.21667
4/20/2004,1.06667,11.56000
4/21/2004,1.26667,11.90167
4/22/2004,1.46667,12.24000
4/23/2004,1.66667,12.57333
4/24/2004,1.85000,12.90500
4/25/2004,2.01667,13.23167
4/26/2004,2.18333,13.55500
4/27/2004,2.35000,13.87500
4/28/2004,2.50000,14.19167
4/29/2004,2.63333,14.50333
4/30/2004,2.76667,14.81167
5/1/2004,2.90000,15.11500
5/2/2004,3.01667,15.41500
5/3/2004,3.11667,15.71167
5/4/2004,3.21667,16.00167
5/5/2004,3.31667,16.28833
5/6/2004,3.40000,16.57167
5/7/2004,3.46667,16.84833
5/8/2004,3.53333,17.12167
5/9/2004,3.58333,17.39000
5/10/2004,3.61667,17.65333
5/11/2004,3.65000,17.91333
5/12/2004,3.66667,18.16667
5/13/2004,3.68333,18.41500
5/14/2004,3.68333,18.65833
5/15/2004,3.68333,18.89667
5/16/2004,3.66667,19.12833
5/17/2004,3.63333,19.35667
5/18/2004,3.60000,19.57833
5/19/2004,3.56667,19.79500
5/20/2004,3.50000,20.00500
5/21/2004,3.45000,20.21167
5/22/2004,3.36667,20.41000
5/23/2004,3.28333,20.60333
5/24/2004,3.20000,20.79167
5/25/2004,3.10000,20.97333
5/26/2004,3.00000,21.14833
5/27/2004,2.88333,21.31833
5/28/2004,2.76667,21.48167
5/29/2004,2.63333,21.63833
5/30/2004,2.50000,21.78833
5/31/2004,2.36667,21.93333
6/1/2004,2.21667,22.07167
6/2/2004,2.06667,22.20333
6/3/2004,1.90000,22.32833
6/4/2004,1.73333,22.44667
6/5/2004,1.56667,22.56000
6/6/2004,1.38333,22.66500
6/7/2004,1.20000,22.76333
6/8/2004,1.01667,22.85667
6/9/2004,0.81667,22.94167
6/10/2004,0.61667,23.02167
6/11/2004,0.41667,23.09333
6/12/2004,0.21667,23.16000
6/13/2004,0.00000,23.21833
6/14/2004,-0.20000,23.27000
6/15/2004,-0.41667,23.31500
6/16/2004,-0.63333,23.35333
6/17/2004,-0.85000,23.38500
6/18/2004,-1.06667,23.40833
6/19/2004,-1.28333,23.42667
6/20/2004,-1.50000,23.43667
6/21/2004,-1.73333,23.44000
6/22/2004,-1.95000,23.43667
6/23/2004,-2.16667,23.42667
6/24/2004,-2.38333,23.41000
6/25/2004,-2.58333,23.38667
6/26/2004,-2.80000,23.35667
6/27/2004,-3.01667,23.31833
6/28/2004,-3.21667,23.27333
6/29/2004,-3.41667,23.22333
6/30/2004,-3.61667,23.16500
7/1/2004,-3.81667,23.10000
7/2/2004,-4.00000,23.02833
7/3/2004,-4.18333,22.95000
7/4/2004,-4.36667,22.86667
7/5/2004,-4.53333,22.77500
7/6/2004,-4.70000,22.67667
7/7/2004,-4.86667,22.57167
7/8/2004,-5.01667,22.46167
7/9/2004,-5.16667,22.34333
7/10/2004,-5.31667,22.22000
7/11/2004,-5.45000,22.09000
7/12/2004,-5.58333,21.95333
7/13/2004,-5.71667,21.81000
7/14/2004,-5.81667,21.66000
7/15/2004,-5.93333,21.50500
7/16/2004,-6.03333,21.34333
7/17/2004,-6.11667,21.17667
7/18/2004,-6.20000,21.00333
7/19/2004,-6.26667,20.82333
7/20/2004,-6.33333,20.63833
7/21/2004,-6.38333,20.44667
7/22/2004,-6.43333,20.25000
7/23/2004,-6.46667,20.04833
7/24/2004,-6.48333,19.84000
7/25/2004,-6.50000,19.62667
7/26/2004,-6.51667,19.40833
7/27/2004,-6.50000,19.18333
7/28/2004,-6.48333,18.95500
7/29/2004,-6.45000,18.72000
7/30/2004,-6.41667,18.48000
7/31/2004,-6.36667,18.23500
8/1/2004,-6.31667,17.98500
8/2/2004,-6.25000,17.73167
8/3/2004,-6.16667,17.47167
8/4/2004,-6.08333,17.20833
8/5/2004,-5.98333,16.93833
8/6/2004,-5.86667,16.66500
8/7/2004,-5.75000,16.38833
8/8/2004,-5.63333,16.10500
8/9/2004,-5.50000,15.81833
8/10/2004,-5.35000,15.52833
8/11/2004,-5.20000,15.23333
8/12/2004,-5.03333,14.93333
8/13/2004,-4.85000,14.63000
8/14/2004,-4.66667,14.32333
8/15/2004,-4.48333,14.01333
8/16/2004,-4.28333,13.69833
8/17/2004,-4.08333,13.38000
8/18/2004,-3.86667,13.05833
8/19/2004,-3.63333,12.73333
8/20/2004,-3.40000,12.40500
8/21/2004,-3.15000,12.07333
8/22/2004,-2.90000,11.73833
8/23/2004,-2.65000,11.40000
8/24/2004,-2.38333,11.06000
8/25/2004,-2.11667,10.71500
8/26/2004,-1.83333,10.36833
8/27/2004,-1.55000,10.02000
8/28/2004,-1.25000,9.66833
8/29/2004,-0.95000,9.31333
8/30/2004,-0.65000,8.95667
8/31/2004,-0.33333,8.59667
9/1/2004,-0.01667,8.23500
9/2/2004,0.30000,7.87167
9/3/2004,0.61667,7.50500
9/4/2004,0.95000,7.13833
9/5/2004,1.28333,6.76833
9/6/2004,1.61667,6.39667
9/7/2004,1.96667,6.02167
9/8/2004,2.30000,5.64667
9/9/2004,2.65000,5.27000
9/10/2004,3.00000,4.89167
9/11/2004,3.35000,4.51167
9/12/2004,3.70000,4.13000
9/13/2004,4.05000,3.74833
9/14/2004,4.40000,3.36500
9/15/2004,4.75000,2.98000
9/16/2004,5.11667,2.59500
9/17/2004,5.46667,2.20833
9/18/2004,5.81667,1.82167
9/19/2004,6.18333,1.43333
9/20/2004,6.53333,1.04500
9/21/2004,6.88333,0.65667
9/22/2004,7.23333,0.26667
9/23/2004,7.58333,-0.12167
9/24/2004,7.93333,-0.51167
9/25/2004,8.28333,-0.90000
9/26/2004,8.63333,-1.29000
9/27/2004,8.96667,-1.68000
9/28/2004,9.31667,-2.06833
9/29/2004,9.65000,-2.45667
9/30/2004,9.98333,-2.84500
10/1/2004,10.30000,-3.23333
10/2/2004,10.63333,-3.62167
10/3/2004,10.93333,-4.00833
10/4/2004,11.25000,-4.39333
10/5/2004,11.55000,-4.77833
10/6/2004,11.85000,-5.16333
10/7/2004,12.15000,-5.54667
10/8/2004,12.43333,-5.92833
10/9/2004,12.70000,-6.30833
10/10/2004,12.96667,-6.68833
10/11/2004,13.23333,-7.06667
10/12/2004,13.48333,-7.44333
10/13/2004,13.73333,-7.81667
10/14/2004,13.96667,-8.19000
10/15/2004,14.18333,-8.56167
10/16/2004,14.40000,-8.93000
10/17/2004,14.61667,-9.29667
10/18/2004,14.80000,-9.66167
10/19/2004,15.00000,-10.02333
10/20/2004,15.16667,-10.38333
10/21/2004,15.33333,-10.74000
10/22/2004,15.50000,-11.09500
10/23/2004,15.63333,-11.44667
10/24/2004,15.76667,-11.79500
10/25/2004,15.90000,-12.14000
10/26/2004,16.00000,-12.48333
10/27/2004,16.10000,-12.82333
10/28/2004,16.18333,-13.15833
10/29/2004,16.26667,-13.49167
10/30/2004,16.31667,-13.82000
10/31/2004,16.36667,-14.14667
11/1/2004,16.40000,-14.46833
11/2/2004,16.41667,-14.78500
11/3/2004,16.43333,-15.10000
11/4/2004,16.41667,-15.40833
11/5/2004,16.40000,-15.71500
11/6/2004,16.36667,-16.01667
11/7/2004,16.31667,-16.31333
11/8/2004,16.25000,-16.60500
11/9/2004,16.16667,-16.89333
11/10/2004,16.08333,-17.17500
11/11/2004,15.98333,-17.45333
11/12/2004,15.85000,-17.72667
11/13/2004,15.71667,-17.99500
11/14/2004,15.56667,-18.25667
11/15/2004,15.40000,-18.51500
11/16/2004,15.23333,-18.76667
11/17/2004,15.03333,-19.01333
11/18/2004,14.83333,-19.25333
11/19/2004,14.61667,-19.48833
11/20/2004,14.38333,-19.71833
11/21/2004,14.13333,-19.94000
11/22/2004,13.88333,-20.15667
11/23/2004,13.61667,-20.36833
11/24/2004,13.33333,-20.57333
11/25/2004,13.03333,-20.77000
11/26/2004,12.73333,-20.96167
11/27/2004,12.40000,-21.14667
11/28/2004,12.06667,-21.32500
11/29/2004,11.73333,-21.49833
11/30/2004,11.36667,-21.66333
12/1/2004,11.00000,-21.82000
12/2/2004,10.63333,-21.97167
12/3/2004,10.23333,-22.11667
12/4/2004,9.83333,-22.25333
12/5/2004,9.43333,-22.38333
12/6/2004,9.01667,-22.50500
12/7/2004,8.58333,-22.62167
12/8/2004,8.15000,-22.72833
12/9/2004,7.70000,-22.83000
12/10/2004,7.25000,-22.92333
12/11/2004,6.80000,-23.00833
12/12/2004,6.33333,-23.08667
12/13/2004,5.86667,-23.15667
12/14/2004,5.38333,-23.21833
12/15/2004,4.90000,-23.27333
12/16/2004,4.41667,-23.32167
12/17/2004,3.93333,-23.36000
12/18/2004,3.43333,-23.39167
12/19/2004,2.95000,-23.40000
12/20/2004,2.45000,-23.43167
12/21/2004,1.95000,-23.44000
12/22/2004,1.45000,-23.44000
12/23/2004,0.96667,-23.43167
12/24/2004,0.46667,-23.41667
12/25/2004,-0.03333,-23.39333
12/26/2004,-0.53333,-23.36167
12/27/2004,-1.01667,-23.32333
12/28/2004,-1.50000,-23.27667
12/29/2004,-2.00000,-23.22167
12/30/2004,-2.48333,-23.16000
12/31/2004,-2.95000,-23.09000
